순위,영화제목,영문제목,예매율,예매관객수
1,왕과 사는 남자,The King's Warden,50.9%,"181,277"
2,프로젝트 헤일메리,PROJECT HAIL MARY,13.2%,"47,159"
3,삼악도,Samakdo,4.9%,"17,537"
4,호퍼스,HOPPERS,4.6%,"16,209"
5,투어스 브이알 콘서트 : 러쉬로드,TWS VR CONCERT : RUSH ROAD,3.9%,"13,805"
6,F1 더 무비,F1,3.3%,"11,621"
7,폭탄,Bakudan,2.1%,"7,320"
8,극장판 진격의 거인 완결편 더 라스트 어택,Attack on Titan The Movie : THE LAST ATTACK,1.6%,"5,796"
9,매드 댄스 오피스,Mad Dance Office,1.6%,"5,729"
10,아르코,ARCO,1.5%,"5,518"
11,너자 2,Ne Zha 2,1.2%,"4,326"
12,메소드연기,METHOD ACTING,1.1%,"3,922"
13,스페셜즈,Specials,1.0%,"3,717"
14,오만과 편견,"Pride & Prejudice, 2005",0.8%,"2,744"
15,다이 마이 러브,Die My Love,0.7%,"2,464"
16,센티멘탈 밸류,Sentimental Value,0.6%,"2,219"
17,"파리, 텍사스","Paris,Texas",0.6%,"2,157"
18,우리에게는 아직 내일이 있다,There's Still Tomorrow,0.6%,"2,123"
19,초속 5센티미터,5 Centimeters per Second,0.6%,"2,097"
20,케이온,K-ON,0.6%,"1,989"
21,휴민트,HUMINT,0.5%,"1,800"
22,좀비 랜드 사가: 유메긴가 파라다이스,Zombie Land Saga: Yumeginga Paradise,0.4%,"1,284"
23,햄넷,HAMNET,0.4%,"1,281"
24,신의악단,Choir of God,0.3%,899
25,슬라이드 스트럼 뮤트,Slide Strum Mute,0.2%,739
26,우마무스메 프리티 더비 새로운 시대의 문,Umamusume Pretty Derby Beginning of a New Era,0.2%,606
27,극장의 시간들,Time of Cinema,0.2%,572
28,아이엠스타!X프리파라 더 무비 -만남의 기적!-,Aikatsu! Pripara THE MOVIE -Miraculous Meeting!- ,0.2%,569
29,부흥,The Revival,0.2%,565
30,굿 윌 헌팅,Good Will Hunting,0.1%,456
31,우마무스메 프리티 더비 로드 투 더 탑,Umamusume Pretty Derby ROAD TO THE TOP,0.1%,411
